FechayHora ; AlturaCeneha ; AlturaPrefectura
14/02/2018 12:00 ; 4.52 ; 4.46
14/02/2018 00:00 ; 4.48 ; 4.44
15/02/2018 12:00 ; 4.53 ; 4.47
15/02/2018 00:00 ; 4.51 ; 4.46
16/02/2018 12:00 ; 4.54 ; 4.48
16/02/2018 00:00 ; 4.52 ; 4.47
17/02/2018 12:00 ; 4.55 ; 4.48
17/02/2018 00:00 ; 4.53 ; 4.48
18/02/2018 12:00 ; 4.56 ; 4.49
18/02/2018 00:00 ; 4.57 ; 4.48
19/02/2018 12:00 ; 4.56 ; 4.5
19/02/2018 00:00 ; 4.55 ; 4.49
20/02/2018 12:00 ; 4.55 ; 4.51
20/02/2018 00:00 ; 4.55 ; 4.5
21/02/2018 12:00 ; 4.54 ; 4.5
21/02/2018 00:00 ; 4.51 ; 4.51
22/02/2018 00:00 ; 4.54 ; 4.5
23/02/2018 12:00 ; 4.55 ; 4.48
23/02/2018 00:00 ; 4.53 ; 4.51
24/02/2018 12:00 ; 4.54 ; 4.5
24/02/2018 00:00 ; 4.52 ; 4.48
25/02/2018 12:00 ; 4.53 ; 4.5
25/02/2018 00:00 ; 4.52 ; 4.5
26/02/2018 12:00 ; 4.51 ; 4.46
26/02/2018 00:00 ; 4.51 ; 4.5
27/02/2018 12:00 ; 4.51 ; 4.46
27/02/2018 00:00 ; 4.5 ; 4.46
28/02/2018 12:00 ; 4.5 ; 4.44
28/02/2018 00:00 ; 4.49 ; 4.46
01/03/2018 12:00 ; 4.49 ; 4.44
01/03/2018 00:00 ; 4.49 ; 4.44
02/03/2018 12:00 ; 4.49 ; 4.44
02/03/2018 00:00 ; 4.48 ; 4.44
03/03/2018 12:00 ; 4.47 ; 4.42
03/03/2018 00:00 ; 4.47 ; 4.44
04/03/2018 12:00 ; 4.47 ; 4.4
04/03/2018 00:00 ; 4.46 ; 4.42
05/03/2018 12:00 ; 4.43 ; 4.38
05/03/2018 00:00 ; 4.43 ; 4.4
06/03/2018 12:00 ; 4.42 ; 4.38
06/03/2018 00:00 ; 4.42 ; 4.38
07/03/2018 12:00 ; 4.4 ; 4.36
07/03/2018 00:00 ; 4.39 ; 4.38
08/03/2018 12:00 ; 4.38 ; 4.34
08/03/2018 00:00 ; 4.38 ; 4.36
09/03/2018 12:00 ; 4.38 ; 4.33
09/03/2018 00:00 ; 4.36 ; 4.34
10/03/2018 12:00 ; 4.38 ; 4.33
10/03/2018 00:00 ; 4.36 ; 4.33
11/03/2018 12:00 ; 4.3 ; 4.33
11/03/2018 00:00 ; 4.32 ; 4.33
12/03/2018 12:00 ; 4.33 ; 4.29
12/03/2018 00:00 ; 4.31 ; 4.3
13/03/2018 12:00 ; 4.31 ; 4.27
13/03/2018 00:00 ; 4.31 ; 4.29
14/03/2018 12:00 ; 4.31 ; 4.26
14/03/2018 00:00 ; 4.3 ; 4.27
15/03/2018 12:00 ; 4.29 ; 4.26
15/03/2018 00:00 ; 4.3 ; 4.26
16/03/2018 12:00 ; 4.3 ; 4.26
16/03/2018 00:00 ; 4.28 ; 4.26
17/03/2018 12:00 ; 4.3 ; 4.26
17/03/2018 00:00 ; 4.28 ; 4.26
18/03/2018 00:00 ; 4.29 ; 4.26
19/03/2018 12:00 ; 4.29 ; 4.2
19/03/2018 00:00 ; 4.27 ; 4.22
20/03/2018 12:00 ; 4.29 ; 4.24
20/03/2018 00:00 ; 4.27 ; 4.2
21/03/2018 12:00 ; 4.27 ; 4.25
21/03/2018 00:00 ; 4.26 ; 4.24
22/03/2018 12:00 ; 4.27 ; 4.24
22/03/2018 00:00 ; 4.26 ; 4.25
23/03/2018 12:00 ; 4.29 ; 4.23
23/03/2018 00:00 ; 4.27 ; 4.24
24/03/2018 12:00 ; 4.28 ; 4.22
24/03/2018 00:00 ; 4.28 ; 4.23
25/03/2018 12:00 ; 4.24 ; 4.21
25/03/2018 00:00 ; 4.18 ; 4.22
26/03/2018 12:00 ; 4.26 ; 4.23
26/03/2018 00:00 ; 4.24 ; 4.21
27/03/2018 12:00 ; 4.27 ; 4.24
27/03/2018 00:00 ; 4.27 ; 4.23
28/03/2018 12:00 ; 4.3 ; 4.24
28/03/2018 00:00 ; 4.28 ; 4.24
29/03/2018 12:00 ; 4.31 ; 4.25
29/03/2018 00:00 ; 4.29 ; 4.24
30/03/2018 12:00 ; 4.32 ; 4.26
30/03/2018 00:00 ; 4.31 ; 4.25
31/03/2018 12:00 ; 4.32 ; 4.26
31/03/2018 00:00 ; 4.31 ; 4.26
01/04/2018 12:00 ; 4.34 ; 4.28
01/04/2018 00:00 ; 4.33 ; 4.26
02/04/2018 12:00 ; 4.34 ; 4.3
02/04/2018 00:00 ; 4.32 ; 4.28
03/04/2018 12:00 ; 4.34 ; 4.3
03/04/2018 00:00 ; 4.33 ; 4.3
04/04/2018 12:00 ; 4.35 ; 4.31
04/04/2018 00:00 ; 4.33 ; 4.3
05/04/2018 12:00 ; 4.36 ; 4.3
05/04/2018 00:00 ; 4.36 ; 4.31
06/04/2018 12:00 ; 4.36 ; 4.3
06/04/2018 00:00 ; 4.35 ; 4.3
07/04/2018 12:00 ; 4.36 ; 4.3
07/04/2018 00:00 ; 4.35 ; 4.3
08/04/2018 12:00 ; 4.41 ; 4.3
08/04/2018 00:00 ; 4.37 ; 4.3
09/04/2018 12:00 ; 4.41 ; 4.36
09/04/2018 00:00 ; 4.4 ; 4.35
10/04/2018 12:00 ; 4.42 ; 4.35
10/04/2018 00:00 ; 4.41 ; 4.36
11/04/2018 12:00 ; 4.43 ; 4.35
11/04/2018 00:00 ; 4.4 ; 4.35
12/04/2018 12:00 ; 4.35 ; 4.36
